nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
ISKANDAR MUDA PURWAAMIJAYA,257939,Teknik Sipil (S1),547,287,2,5
FITRI RAHMAFITRIA,6067571,Manajemen Resort dan Leisure (S1),630,286,5,8
NURBAETY AGUSTINA DEWI RATNASARI,6666061,Unknown,871,286,0,33
SUSAN FITRIASARI,5989821,Pendidikan Pancasila Dan Kewarganegaraan (S1),438,286,1,5
NAHADI,5978998,Pendidikan Kimia (S2),974,285,4,8
YUSUF MURTADLO HIDAYAT,6127532,Pendidikan Bisnis (S1),312,285,1,4
YUNYUN YUDIANA,5994858,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",510,284,2,12
SIMA MULYADI,6682859,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),459,276,0,7
AIM ABDULKARIM,5992379,Pendidikan Kewarganegaraan (S3),563,274,3,11
JOHAR MAKNUN,5994899,Pendidikan Teknik Arsitektur (S1),1.020,273,4,12
DADANG SUNENDAR,5982345,Pendidikan Bahasa Indonesia (S3),607,271,2,9
LILIT RUSYATI,6102491,Pendidikan IPA (S1),663,271,3,7
JUANG AKBARDIN,5979018,Teknik Sipil (S1),599,271,4,7
SUMIYADI,5994381,Pendidikan Bahasa Indonesia (S3),476,271,1,4
CEP UBAD ABDULLAH,6681401,Pendidikan Pariwisata (S1),664,269,5,7
SUCI TUTY PUTRI ,5975877,Keperawatan (D3),424,268,2,7
"DR. ILFIANDRA, M.PD",5989603,Bimbingan Dan Konseling (S2),668,268,3,9
LUKMAN HAKIM,6754055,Pendidikan Bahasa Inggris (S1),999,284,1,1
TATAT HARTATI,6038950,Pendidikan Dasar (S2),664,281,1,13
BUDI SUSETYO,6016781,Pendidikan Khusus (S3),829,281,3,7
MUSTIKA NURAMALIA HANDAYANI,5979659,Pendidikan Teknologi Agroindustri (S1),782,268,5,9
HERMAN SUBARJAH,5994028,Pendidikan Olahraga (S3),785,266,3,12
ADIB RIFQI SETIAWAN,6710906,Unknown,299,266,0,26
SUMARTO,5979244,Pendidikan Teknologi dan Kejuruan (S3),980,264,3,7
TJUTJU YUNIARSIH,5986201,Manajemen Perkantoran (S2),832,264,3,15
USEP SURAHMAN,5978237,Arsitektur (S2),883,280,6,8
TATI NARAWATI,5995150,Pendidikan Seni (S3),554,280,1,8
WILODATI,5976344,Pendidikan Sosiologi (S2),508,279,0,6
MUNAWAR RAHMAT,5993616,Pendidikan Ilmu Pengetahuan Sosial (S2),664,279,3,9
